7/25/2024  5:29 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.101	
3	0.00	0.150	
4	0.00	0.200	
5	0.00	0.251	
6	0.00	0.300	
7	0.00	0.350	
8	0.00	0.400	
9	0.00	0.450	
10	0.00	0.500	
11	0.00	0.550	
12	0.00	0.600	
13	0.00	0.651	
14	0.00	0.700	
15	0.00	0.750	
16	0.00	0.800	
17	0.00	0.851	
18	0.00	0.901	
19	0.00	0.950	
20	0.00	1.000	
21	0.00	1.050	
22	0.00	1.100	
23	0.00	1.150	
24	0.00	1.200	
25	0.00	1.250	
26	0.00	1.300	
27	0.00	1.350	
28	0.00	1.401	
29	0.00	1.450	
30	0.00	1.501	
31	0.00	1.550	
32	0.00	1.600	
33	0.00	1.650	
34	0.00	1.701	
35	0.00	1.750	
36	0.00	1.800	
37	0.00	1.851	
38	0.00	1.901	
39	0.00	1.950	
40	0.00	2.000	
41	0.00	2.050	
42	0.00	2.101	
43	0.00	2.150	
44	0.00	2.201	
45	0.00	2.250	
46	0.00	2.301	
47	0.00	2.350	
48	0.00	2.401	
49	0.00	2.450	
50	0.00	2.501	
51	0.00	2.550	
52	0.04	2.601	
53	0.28	2.651	
54	0.56	2.701	
55	0.78	2.750	
56	1.04	2.800	
57	1.38	2.851	
58	2.00	2.901	
59	2.42	2.950	
60	2.88	3.001	
61	3.38	3.051	
62	3.90	3.100	
63	4.40	3.150	
64	4.88	3.201	
65	5.24	3.251	
66	5.38	3.300	
67	5.36	3.351	
68	5.34	3.401	
69	5.32	3.451	
70	5.30	3.500	
71	5.28	3.550	
72	5.28	3.601	
73	5.26	3.651	
74	5.24	3.700	
75	5.24	3.751	
76	5.24	3.801	
77	5.22	3.850	
78	5.22	3.901	
79	5.22	3.950	
80	5.22	4.000	
81	5.22	4.051	
82	5.20	4.100	
83	5.20	4.151	
84	5.20	4.200	
85	5.20	4.251	
86	5.20	4.301	
87	5.18	4.351	
88	5.18	4.401	
89	5.18	4.451	
90	5.18	4.500	
91	5.18	4.551	
92	5.18	4.601	
93	5.16	4.651	
94	5.16	4.701	
95	5.16	4.750	
96	5.16	4.801	
97	5.16	4.850	
98	5.16	4.901	
99	5.16	4.950	
100	5.10	5.000	
101	4.52	5.050	
102	3.54	5.101	
103	2.82	5.150	
104	2.34	5.201	
105	1.86	5.250	
106	1.44	5.300	
107	1.10	5.351	
108	0.82	5.400	
109	0.60	5.451	
110	0.48	5.500	
111	0.40	5.550	
112	0.40	5.601	
113	0.42	5.651	
114	0.42	5.700	
115	0.44	5.750	
116	0.44	5.801	
117	0.44	5.851	
118	0.44	5.901	
119	0.44	5.950	
120	0.44	6.001	
121	0.44	6.051	
122	0.44	6.100	
123	0.46	6.151	
124	0.46	6.200	
