7/25/2024  5:05 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.098	
3	0.00	0.142	
4	0.00	0.188	
5	0.00	0.238	
6	0.00	0.288	
7	0.00	0.339	
8	0.00	0.388	
9	0.00	0.438	
10	0.00	0.489	
11	0.00	0.539	
12	0.00	0.589	
13	0.00	0.639	
14	0.00	0.688	
15	0.00	0.739	
16	0.00	0.788	
17	0.00	0.840	
18	0.00	0.889	
19	0.00	0.939	
20	0.00	0.989	
21	0.00	1.039	
22	0.00	1.088	
23	0.00	1.139	
24	0.00	1.188	
25	0.00	1.239	
26	0.00	1.288	
27	0.00	1.339	
28	0.00	1.388	
29	0.00	1.438	
30	0.00	1.489	
31	0.00	1.538	
32	0.00	1.589	
33	0.00	1.639	
34	0.00	1.689	
35	0.00	1.738	
36	0.00	1.789	
37	0.00	1.838	
38	0.00	1.889	
39	0.00	1.939	
40	0.00	1.988	
41	0.02	2.039	
42	0.00	2.088	
43	0.00	2.139	
44	0.00	2.188	
45	0.00	2.239	
46	0.00	2.288	
47	0.00	2.339	
48	0.00	2.388	
49	0.00	2.438	
50	0.00	2.489	
51	0.00	2.538	
52	0.00	2.588	
53	0.00	2.639	
54	0.00	2.688	
55	0.00	2.739	
56	0.00	2.788	
57	0.00	2.838	
58	0.00	2.888	
59	0.02	2.938	
60	0.00	2.989	
61	0.00	3.038	
62	0.00	3.088	
63	0.00	3.138	
64	0.00	3.188	
65	0.00	3.239	
66	0.00	3.288	
67	0.00	3.338	
68	0.02	3.389	
69	0.00	3.439	
70	0.00	3.489	
71	0.00	3.538	
72	0.00	3.589	
73	0.02	3.638	
74	0.00	3.689	
75	0.00	3.739	
76	0.00	3.788	
77	0.00	3.838	
78	0.00	3.889	
79	0.00	3.939	
80	0.02	3.988	
81	0.02	4.039	
82	0.02	4.088	
83	0.02	4.139	
84	0.02	4.188	
85	0.00	4.239	
86	0.02	4.289	
87	0.00	4.338	
88	0.00	4.388	
89	0.02	4.438	
90	0.02	4.489	
91	0.00	4.538	
92	0.02	4.588	
93	0.02	4.638	
94	0.02	4.689	
95	0.02	4.738	
96	0.02	4.789	
97	0.02	4.839	
98	0.00	4.888	
99	0.02	4.939	
100	0.02	4.988	
101	0.02	5.039	
102	0.00	5.089	
103	-0.02	5.138	
104	0.04	5.189	
105	0.20	5.238	
106	0.40	5.288	
107	0.68	5.338	
108	1.00	5.388	
109	1.42	5.438	
110	1.94	5.488	
111	2.20	5.538	
112	2.40	5.589	
113	2.48	5.638	
114	2.48	5.689	
115	2.48	5.738	
116	2.46	5.789	
117	2.46	5.838	
118	2.46	5.889	
119	2.46	5.938	
120	2.44	5.988	
121	2.46	6.038	
122	2.44	6.089	
123	2.44	6.139	
124	2.44	6.188	
125	2.44	6.238	
126	2.44	6.288	
127	2.44	6.338	
128	2.44	6.388	
129	2.44	6.439	
130	2.44	6.488	
131	2.44	6.538	
132	2.22	6.588	
133	1.90	6.638	
134	1.42	6.688	
135	1.04	6.739	
136	0.72	6.788	
137	0.46	6.839	
138	0.32	6.889	
139	0.32	6.939	
140	0.32	6.988	
141	0.32	7.039	
142	0.32	7.088	
143	0.32	7.139	
144	0.32	7.189	
145	0.32	7.238	
146	0.32	7.288	
147	0.32	7.339	
148	0.32	7.389	
149	0.32	7.438	
150	0.32	7.488	
151	0.30	7.539	
152	0.30	7.588	
153	0.30	7.639	
154	0.32	7.688	
155	0.30	7.739	
156	0.30	7.789	
157	0.30	7.839	
