Format Version,1.21,Take Name,Take 2024-08-16 12.32.59 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.32.59.138 AM,Total Frames in Take,1941,Total Exported Frames,1941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.002439,0.860566,-0.006923,-0.509287,0.116484,0.017346,0.171828,0.000297,0.135749,0.013364,0.220011,0.956932,0.147676,0.034335,0.165474,0.927397,0.077386,0.013449,0.206178,0.869748,0.061158,0.013147,0.148077,0.935793,0.160449,0.012436,0.119401,0.939306,0.136022,0.013202,0.220191,0.147407,0.034466,0.165494,0.077711,0.013281,0.205608,0.061123,0.013226,0.148105,0.160474,0.012101,0.119615,0.009228,0.018336,-0.195411,0.159289,0.018576,-0.188626,0.000594,0.018450,0.004550,0.164466,0.375609,0.199799,0.063049,0.376610,0.175813,0.135363,0.375960,0.100289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.002460,0.860559,-0.006973,-0.509298,0.116480,0.017350,0.171835,0.000297,0.135747,0.013373,0.220018,0.956932,0.147672,0.034338,0.165478,0.927397,0.077384,0.013456,0.206186,0.869748,0.061154,0.013147,0.148085,0.935793,0.160444,0.012434,0.119407,0.939306,0.136021,0.013209,0.220201,0.147401,0.034471,0.165496,0.077710,0.013295,0.205618,0.061125,0.013214,0.148124,0.160469,0.012099,0.119621,0.009395,0.018158,-0.195006,0.159281,0.018575,-0.188619,0.000590,0.018450,0.004553,0.164275,0.375515,0.199678,0.063002,0.376573,0.175828,0.135359,0.375954,0.100309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.002471,0.860527,-0.007073,-0.509350,0.116459,0.017345,0.171838,0.000300,0.135732,0.013378,0.220020,0.957422,0.147649,0.034334,0.165474,0.926442,0.077367,0.013454,0.206195,0.869034,0.061130,0.013133,0.148096,0.935527,0.160417,0.012423,0.119406,0.939751,0.136014,0.013205,0.220198,0.147402,0.034467,0.165501,0.077711,0.013300,0.205619,0.061016,0.013244,0.148095,0.160477,0.012096,0.119627,0.009329,0.018411,-0.195394,0.159283,0.018576,-0.188614,0.000582,0.018447,0.004555,0.164272,0.375505,0.199676,0.062996,0.376579,0.175835,0.135355,0.375953,0.100315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.002456,0.860570,-0.006942,-0.509278,0.116475,0.017346,0.171837,0.000296,0.135740,0.013365,0.220021,0.956888,0.147668,0.034334,0.165482,0.926976,0.077378,0.013451,0.206186,0.870710,0.061150,0.013146,0.148084,0.936193,0.160442,0.012432,0.119411,0.938688,0.136012,0.013196,0.220198,0.147397,0.034469,0.165501,0.077709,0.013286,0.205623,0.061112,0.013227,0.148111,0.160469,0.012092,0.119629,0.009174,0.018271,-0.195370,0.159276,0.018576,-0.188613,0.000578,0.018448,0.004555,0.164268,0.375509,0.199681,0.062993,0.376579,0.175826,0.135350,0.375953,0.100309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.002496,0.860563,-0.006963,-0.509290,0.116476,0.017346,0.171835,0.000297,0.135742,0.013369,0.220018,0.958011,0.147670,0.034332,0.165478,0.926702,0.077379,0.013456,0.206185,0.869143,0.061150,0.013147,0.148084,0.935840,0.160441,0.012427,0.119408,0.938876,0.136012,0.013200,0.220195,0.147400,0.034465,0.165499,0.077706,0.013295,0.205615,0.061118,0.013216,0.148121,0.160467,0.012089,0.119621,0.009325,0.018404,-0.195388,0.159277,0.018577,-0.188616,0.000576,0.018450,0.004558,0.164268,0.375506,0.199681,0.062997,0.376580,0.175830,0.135350,0.375952,0.100314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.002483,0.860567,-0.006974,-0.509283,0.116479,0.017347,0.171837,0.000298,0.135743,0.013371,0.220021,0.958011,0.147671,0.034334,0.165480,0.926702,0.077381,0.013456,0.206187,0.869143,0.061153,0.013146,0.148085,0.935840,0.160444,0.012429,0.119411,0.938876,0.136013,0.013200,0.220202,0.147401,0.034471,0.165500,0.077707,0.013292,0.205617,0.061120,0.013210,0.148130,0.160474,0.012087,0.119623,0.009177,0.018275,-0.195373,0.159282,0.018573,-0.188614,0.000580,0.018451,0.004552,0.164276,0.375507,0.199684,0.063050,0.376612,0.175832,0.135362,0.375950,0.100324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.002492,0.860572,-0.007046,-0.509275,0.116477,0.017351,0.171843,0.000293,0.135742,0.013382,0.220028,0.957991,0.147669,0.034339,0.165485,0.926175,0.077380,0.013462,0.206193,0.869198,0.061153,0.013144,0.148091,0.935154,0.160444,0.012429,0.119419,0.938998,0.136007,0.013227,0.220216,0.147403,0.034468,0.165504,0.077707,0.013304,0.205634,0.061124,0.013206,0.148132,0.160466,0.012095,0.119634,0.009172,0.018272,-0.195363,0.159277,0.018575,-0.188609,0.000589,0.018443,0.004555,0.164279,0.375506,0.199689,0.063055,0.376614,0.175838,0.135368,0.375942,0.100332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.002455,0.860511,-0.007067,-0.509378,0.116463,0.017346,0.171836,0.000298,0.135739,0.013378,0.220016,0.953193,0.147652,0.034336,0.165470,0.933012,0.077374,0.013453,0.206195,0.873500,0.061133,0.013134,0.148097,0.934478,0.160418,0.012427,0.119401,0.933258,0.136017,0.013200,0.220189,0.147406,0.034470,0.165496,0.077717,0.013303,0.205624,0.061025,0.013237,0.148102,0.160475,0.012096,0.119624,0.009185,0.018282,-0.195376,0.159286,0.018576,-0.188616,0.000585,0.018445,0.004549,0.164275,0.375507,0.199679,0.063006,0.376576,0.175828,0.135362,0.375952,0.100311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.002499,0.860581,-0.006959,-0.509260,0.116479,0.017348,0.171829,0.000295,0.135741,0.013370,0.220014,0.956288,0.147673,0.034334,0.165474,0.927154,0.077380,0.013458,0.206177,0.871196,0.061155,0.013150,0.148074,0.936812,0.160447,0.012428,0.119405,0.939371,0.136015,0.013197,0.220190,0.147403,0.034473,0.165490,0.077705,0.013297,0.205615,0.061120,0.013231,0.148097,0.160470,0.012088,0.119621,0.009181,0.018275,-0.195380,0.159285,0.018580,-0.188627,0.000593,0.018459,0.004542,0.164454,0.375610,0.199787,0.062995,0.376583,0.175813,0.135357,0.375963,0.100280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.002486,0.860577,-0.006941,-0.509267,0.116482,0.017351,0.171828,0.000296,0.135744,0.013371,0.220012,0.956288,0.147675,0.034337,0.165473,0.927154,0.077383,0.013459,0.206176,0.871196,0.061157,0.013153,0.148074,0.936812,0.160449,0.012434,0.119403,0.939371,0.136017,0.013204,0.220196,0.147405,0.034475,0.165489,0.077711,0.013298,0.205612,0.061123,0.013233,0.148097,0.160471,0.012096,0.119617,0.009179,0.018273,-0.195380,0.159282,0.018577,-0.188625,0.000589,0.018458,0.004542,0.164480,0.375603,0.199790,0.063019,0.376548,0.175783,0.135358,0.375962,0.100285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
