Format Version,1.21,Take Name,Take 2024-08-16 12.00.25 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.00.25.770 AM,Total Frames in Take,2913,Total Exported Frames,2913,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,-0.001004,-0.017891,0.000786,0.999839,0.119787,0.017295,0.155132,0.000124,0.154123,0.012538,0.116311,0.979540,0.100259,0.034203,0.129938,0.949362,0.168005,0.013129,0.174659,0.978373,0.123403,0.013724,0.215273,0.960603,0.053145,0.012881,0.139479,0.977615,0.154152,0.012462,0.116367,0.100111,0.034261,0.129744,0.167936,0.013283,0.174632,0.123521,0.013444,0.215377,0.053118,0.013041,0.139532,0.000569,0.018392,0.004411,0.009332,0.018104,-0.195103,0.159277,0.018579,-0.188608,0.149769,0.376433,0.197575,0.126831,0.375795,0.096443,0.049753,0.376796,0.167278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,-0.001009,-0.017898,0.000796,0.999839,0.119788,0.017292,0.155131,0.000126,0.154124,0.012535,0.116311,0.979540,0.100260,0.034199,0.129937,0.949362,0.168006,0.013127,0.174659,0.978373,0.123403,0.013722,0.215272,0.960603,0.053146,0.012876,0.139478,0.977615,0.154134,0.012447,0.116390,0.100107,0.034265,0.129734,0.167937,0.013275,0.174625,0.123527,0.013441,0.215371,0.053143,0.013038,0.139510,0.000569,0.018393,0.004409,0.009219,0.018338,-0.195416,0.159275,0.018579,-0.188608,0.149767,0.376436,0.197570,0.126822,0.375798,0.096429,0.049757,0.376790,0.167272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,-0.000967,-0.017873,0.000741,0.999840,0.119772,0.017295,0.155129,0.000128,0.154106,0.012538,0.116306,0.982232,0.100244,0.034207,0.129937,0.947498,0.167991,0.013124,0.174654,0.974956,0.123389,0.013720,0.215269,0.960019,0.053129,0.012888,0.139478,0.978225,0.154133,0.012449,0.116398,0.100108,0.034259,0.129739,0.167891,0.013273,0.174602,0.123522,0.013438,0.215374,0.053116,0.013036,0.139542,0.000566,0.018389,0.004412,0.009217,0.018340,-0.195414,0.159277,0.018582,-0.188607,0.149760,0.376443,0.197586,0.126830,0.375793,0.096438,0.049753,0.376794,0.167279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,-0.000892,-0.018179,0.001131,0.999834,0.119771,0.017270,0.155122,0.000149,0.154132,0.012545,0.116320,0.982444,0.100245,0.034170,0.129921,0.948049,0.167981,0.013133,0.174676,0.977058,0.123354,0.013689,0.215264,0.944468,0.053141,0.012812,0.139430,0.962114,0.154112,0.012437,0.116414,0.100110,0.034258,0.129746,0.167929,0.013277,0.174643,0.123516,0.013454,0.215392,0.053075,0.013119,0.139246,0.000571,0.018387,0.004418,0.009319,0.018100,-0.195101,0.159274,0.018584,-0.188602,0.149769,0.376438,0.197587,0.126832,0.375793,0.096450,0.049759,0.376793,0.167291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,-0.000805,-0.018149,0.001165,0.999834,0.119778,0.017269,0.155110,0.000147,0.154138,0.012553,0.116305,0.981568,0.100250,0.034172,0.129913,0.949235,0.167990,0.013133,0.174660,0.977797,0.123366,0.013678,0.215251,0.944721,0.053148,0.012809,0.139422,0.963171,0.154133,0.012445,0.116398,0.100113,0.034253,0.129751,0.167923,0.013275,0.174622,0.123530,0.013444,0.215376,0.053077,0.013120,0.139239,0.000568,0.018385,0.004417,0.009188,0.018271,-0.195380,0.159281,0.018580,-0.188607,0.149769,0.376445,0.197592,0.126829,0.375796,0.096445,0.049763,0.376793,0.167288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,-0.000963,-0.017938,0.000776,0.999838,0.119782,0.017291,0.155128,0.000129,0.154121,0.012536,0.116310,0.981568,0.100257,0.034201,0.129934,0.949235,0.167999,0.013123,0.174659,0.977797,0.123392,0.013715,0.215269,0.944721,0.053142,0.012879,0.139469,0.963171,0.154129,0.012447,0.116399,0.100106,0.034264,0.129731,0.167921,0.013269,0.174618,0.123526,0.013439,0.215373,0.053140,0.013041,0.139498,0.000569,0.018395,0.004411,0.009406,0.018170,-0.195021,0.159276,0.018580,-0.188611,0.149771,0.376429,0.197571,0.126829,0.375799,0.096430,0.049759,0.376794,0.167274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,-0.000973,-0.017955,0.000761,0.999838,0.119781,0.017293,0.155130,0.000127,0.154121,0.012537,0.116314,0.981055,0.100257,0.034204,0.129935,0.948424,0.167996,0.013124,0.174663,0.973675,0.123389,0.013719,0.215271,0.958249,0.053141,0.012883,0.139469,0.976816,0.154130,0.012449,0.116397,0.100107,0.034262,0.129736,0.167917,0.013277,0.174622,0.123520,0.013442,0.215382,0.053139,0.013051,0.139498,0.000566,0.018397,0.004406,0.009180,0.018275,-0.195383,0.159273,0.018577,-0.188609,0.149767,0.376437,0.197577,0.126828,0.375801,0.096430,0.049753,0.376787,0.167280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,-0.000951,-0.017918,0.000824,0.999839,0.119787,0.017290,0.155134,0.000126,0.154126,0.012539,0.116314,0.981748,0.100259,0.034199,0.129941,0.948300,0.168005,0.013126,0.174663,0.974997,0.123400,0.013713,0.215274,0.959832,0.053147,0.012872,0.139477,0.978232,0.154134,0.012450,0.116400,0.100108,0.034258,0.129741,0.167939,0.013271,0.174626,0.123526,0.013438,0.215373,0.053142,0.013035,0.139507,0.000565,0.018390,0.004415,0.009225,0.018337,-0.195411,0.159276,0.018579,-0.188608,0.149765,0.376440,0.197588,0.126830,0.375796,0.096447,0.049756,0.376790,0.167291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,-0.000816,-0.018212,0.001191,0.999833,0.119775,0.017267,0.155117,0.000152,0.154139,0.012552,0.116317,0.982599,0.100249,0.034169,0.129917,0.946707,0.167984,0.013134,0.174674,0.976067,0.123355,0.013678,0.215259,0.944099,0.053147,0.012804,0.139420,0.960899,0.154131,0.012449,0.116407,0.100107,0.034253,0.129745,0.167932,0.013275,0.174643,0.123519,0.013448,0.215387,0.053070,0.013123,0.139233,0.000568,0.018384,0.004418,0.009396,0.018165,-0.195014,0.159271,0.018579,-0.188602,0.149766,0.376440,0.197594,0.126829,0.375790,0.096449,0.049759,0.376799,0.167298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,-0.001021,-0.017961,0.000800,0.999838,0.119786,0.017291,0.155138,0.000124,0.154127,0.012534,0.116322,0.982599,0.100261,0.034198,0.129941,0.946707,0.168001,0.013128,0.174672,0.976067,0.123393,0.013723,0.215279,0.944099,0.053146,0.012875,0.139476,0.960899,0.154131,0.012446,0.116402,0.100111,0.034254,0.129740,0.167933,0.013280,0.174637,0.123517,0.013447,0.215388,0.053145,0.013041,0.139507,0.000568,0.018389,0.004415,0.009219,0.018338,-0.195413,0.159274,0.018580,-0.188605,0.149767,0.376441,0.197589,0.126833,0.375787,0.096452,0.049759,0.376794,0.167289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
