Format Version,1.21,Take Name,Take 2024-08-16 12.35.38 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.35.38.701 AM,Total Frames in Take,2688,Total Exported Frames,2688,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.000522,0.964024,-0.005263,-0.265764,0.096202,0.017505,0.185560,0.000371,0.088457,0.013294,0.236852,0.958233,0.126208,0.034657,0.195926,0.917353,0.045124,0.013236,0.195382,0.845578,0.060537,0.013236,0.137058,0.907087,0.160687,0.013100,0.162581,0.907863,0.088508,0.013287,0.237141,0.126007,0.034541,0.195795,0.045902,0.013429,0.194973,0.060238,0.013294,0.136890,0.160694,0.013129,0.162817,0.008694,0.018460,-0.195739,0.158729,0.018594,-0.188288,-0.000734,0.018821,0.003648,0.047265,0.376668,0.161482,0.147505,0.376248,0.133405,0.121633,0.376733,0.233833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.000507,0.964017,-0.005408,-0.265786,0.096201,0.017498,0.185560,0.000374,0.088459,0.013301,0.236854,0.958233,0.126205,0.034656,0.195920,0.917353,0.045124,0.013226,0.195386,0.845578,0.060533,0.013213,0.137061,0.907087,0.160684,0.013094,0.162579,0.907863,0.088516,0.013296,0.237160,0.126013,0.034540,0.195792,0.045865,0.013442,0.194989,0.060209,0.013312,0.136824,0.160696,0.013125,0.162822,0.008692,0.018461,-0.195734,0.158726,0.018592,-0.188280,-0.000738,0.018823,0.003651,0.047263,0.376659,0.161483,0.147508,0.376247,0.133414,0.121626,0.376736,0.233841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.000545,0.964020,-0.005380,-0.265775,0.096199,0.017499,0.185558,0.000387,0.088455,0.013301,0.236852,0.953585,0.126204,0.034655,0.195920,0.914801,0.045122,0.013232,0.195383,0.857561,0.060532,0.013219,0.137058,0.899709,0.160683,0.013091,0.162579,0.906639,0.088499,0.013290,0.237146,0.126009,0.034539,0.195798,0.045906,0.013442,0.194979,0.060203,0.013315,0.136831,0.160694,0.013126,0.162814,0.008689,0.018462,-0.195727,0.158723,0.018590,-0.188283,-0.000741,0.018818,0.003656,0.047261,0.376664,0.161484,0.147507,0.376244,0.133416,0.121624,0.376747,0.233801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.000486,0.964016,-0.005366,-0.265790,0.096203,0.017497,0.185556,0.000384,0.088461,0.013295,0.236850,0.952612,0.126206,0.034655,0.195917,0.912958,0.045126,0.013224,0.195382,0.850765,0.060535,0.013216,0.137057,0.899234,0.160686,0.013097,0.162574,0.904625,0.088509,0.013280,0.237141,0.126011,0.034538,0.195790,0.045898,0.013434,0.194982,0.060203,0.013322,0.136817,0.160697,0.013131,0.162816,0.008696,0.018461,-0.195740,0.158728,0.018592,-0.188290,-0.000735,0.018819,0.003648,0.047262,0.376662,0.161475,0.147505,0.376244,0.133411,0.121678,0.376705,0.233827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.000525,0.964015,-0.005338,-0.265794,0.096196,0.017498,0.185558,0.000373,0.088455,0.013295,0.236852,0.953720,0.126202,0.034653,0.195920,0.915159,0.045119,0.013229,0.195384,0.857648,0.060528,0.013222,0.137059,0.900497,0.160679,0.013093,0.162576,0.907247,0.088507,0.013280,0.237143,0.126011,0.034538,0.195795,0.045859,0.013445,0.194996,0.060201,0.013322,0.136821,0.160694,0.013127,0.162814,0.008695,0.018463,-0.195731,0.158726,0.018589,-0.188288,-0.000737,0.018818,0.003650,0.047261,0.376665,0.161482,0.147506,0.376242,0.133408,0.121685,0.376720,0.233787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.000529,0.964021,-0.005407,-0.265772,0.096202,0.017500,0.185560,0.000384,0.088458,0.013303,0.236853,0.953720,0.126207,0.034657,0.195920,0.915159,0.045125,0.013230,0.195384,0.857648,0.060536,0.013215,0.137060,0.900497,0.160686,0.013093,0.162581,0.907247,0.088507,0.013293,0.237145,0.126012,0.034540,0.195800,0.045905,0.013440,0.194982,0.060208,0.013314,0.136828,0.160692,0.013130,0.162815,0.008695,0.018462,-0.195731,0.158727,0.018589,-0.188284,-0.000736,0.018817,0.003653,0.047266,0.376663,0.161476,0.147508,0.376243,0.133412,0.121637,0.376739,0.233790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.000517,0.964013,-0.005309,-0.265803,0.096204,0.017503,0.185563,0.000374,0.088464,0.013297,0.236856,0.953227,0.126210,0.034657,0.195925,0.913165,0.045127,0.013233,0.195390,0.848733,0.060535,0.013229,0.137064,0.899916,0.160687,0.013099,0.162579,0.904857,0.088517,0.013291,0.237147,0.126014,0.034540,0.195796,0.045898,0.013434,0.194981,0.060224,0.013299,0.136875,0.160699,0.013124,0.162825,0.008696,0.018462,-0.195732,0.158728,0.018594,-0.188287,-0.000737,0.018814,0.003653,0.047262,0.376663,0.161482,0.147509,0.376241,0.133420,0.121631,0.376749,0.233802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.000526,0.964020,-0.005400,-0.265776,0.096201,0.017499,0.185561,0.000386,0.088458,0.013302,0.236855,0.952374,0.126205,0.034656,0.195921,0.912810,0.045124,0.013230,0.195385,0.849656,0.060534,0.013216,0.137061,0.897981,0.160685,0.013093,0.162581,0.904272,0.088507,0.013291,0.237149,0.126008,0.034542,0.195799,0.045903,0.013438,0.194982,0.060201,0.013323,0.136819,0.160698,0.013119,0.162827,0.008689,0.018460,-0.195727,0.158721,0.018591,-0.188284,-0.000740,0.018814,0.003653,0.047256,0.376667,0.161486,0.147507,0.376237,0.133412,0.121630,0.376747,0.233797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.000486,0.964015,-0.005342,-0.265792,0.096201,0.017496,0.185557,0.000383,0.088459,0.013292,0.236851,0.952417,0.126205,0.034653,0.195919,0.913090,0.045124,0.013223,0.195383,0.851824,0.060533,0.013218,0.137058,0.899122,0.160684,0.013096,0.162575,0.904427,0.088506,0.013285,0.237148,0.126014,0.034534,0.195791,0.045891,0.013430,0.194981,0.060202,0.013319,0.136825,0.160696,0.013133,0.162815,0.008694,0.018463,-0.195735,0.158725,0.018591,-0.188290,-0.000737,0.018821,0.003649,0.047258,0.376665,0.161484,0.147505,0.376244,0.133401,0.121675,0.376705,0.233826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.000496,0.964012,-0.005402,-0.265802,0.096209,0.017497,0.185555,0.000386,0.088469,0.013299,0.236849,0.952417,0.126213,0.034656,0.195914,0.913090,0.045132,0.013224,0.195382,0.851824,0.060540,0.013212,0.137057,0.899122,0.160692,0.013095,0.162572,0.904427,0.088517,0.013278,0.237136,0.126016,0.034542,0.195792,0.045912,0.013439,0.194978,0.060207,0.013319,0.136814,0.160703,0.013124,0.162815,0.008701,0.018467,-0.195738,0.158728,0.018597,-0.188289,-0.000734,0.018817,0.003646,0.047259,0.376662,0.161487,0.147508,0.376241,0.133418,0.121678,0.376711,0.233836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
