Format Version,1.21,Take Name,Take 2024-08-16 11.50.01 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.50.01.587 AM,Total Frames in Take,2114,Total Exported Frames,2114,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.001181,0.024827,-0.002359,0.999688,0.167424,0.017367,0.164079,0.000280,0.198291,0.012582,0.122450,0.956829,0.145928,0.034512,0.140714,0.972557,0.217105,0.012816,0.179402,0.915241,0.176135,0.013493,0.223676,0.935977,0.099663,0.013433,0.154153,0.869861,0.198246,0.012533,0.122479,0.146052,0.034273,0.141002,0.217570,0.013156,0.179591,0.176516,0.013527,0.223832,0.099301,0.013634,0.153845,0.000565,0.018395,0.004415,0.009346,0.018098,-0.195102,0.159281,0.018588,-0.188610,0.200785,0.376961,0.203672,0.169295,0.375886,0.104630,0.098708,0.377169,0.182201,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.001153,0.024827,-0.002308,0.999688,0.167423,0.017363,0.164086,0.000273,0.198290,0.012579,0.122457,0.956829,0.145924,0.034504,0.140720,0.972557,0.217104,0.012818,0.179409,0.915241,0.176134,0.013493,0.223683,0.935977,0.099661,0.013421,0.154160,0.869861,0.198246,0.012528,0.122491,0.146052,0.034268,0.141007,0.217568,0.013154,0.179598,0.176512,0.013521,0.223826,0.099310,0.013604,0.153879,0.000565,0.018387,0.004421,0.009230,0.018329,-0.195402,0.159274,0.018583,-0.188605,0.200780,0.376962,0.203685,0.169288,0.375886,0.104639,0.098699,0.377163,0.182220,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.001105,0.024852,-0.002333,0.999688,0.167421,0.017365,0.164093,0.000273,0.198286,0.012575,0.122463,0.958237,0.145922,0.034505,0.140727,0.971322,0.217103,0.012819,0.179414,0.917282,0.176135,0.013500,0.223690,0.939145,0.099659,0.013425,0.154171,0.872839,0.198239,0.012529,0.122491,0.146054,0.034260,0.141017,0.217567,0.013157,0.179602,0.176505,0.013531,0.223843,0.099317,0.013599,0.153904,0.000568,0.018380,0.004426,0.009224,0.018327,-0.195402,0.159271,0.018585,-0.188598,0.200783,0.376961,0.203680,0.169287,0.375876,0.104659,0.098700,0.377156,0.182228,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.001163,0.024833,-0.002311,0.999688,0.167421,0.017366,0.164085,0.000271,0.198288,0.012582,0.122455,0.958301,0.145923,0.034507,0.140719,0.972403,0.217102,0.012820,0.179407,0.920503,0.176133,0.013494,0.223682,0.938202,0.099660,0.013424,0.154160,0.872450,0.198245,0.012531,0.122487,0.146055,0.034267,0.141011,0.217549,0.013156,0.179591,0.176512,0.013522,0.223826,0.099303,0.013616,0.153864,0.000567,0.018384,0.004428,0.009343,0.018099,-0.195097,0.159276,0.018586,-0.188599,0.200788,0.376961,0.203676,0.169290,0.375882,0.104650,0.098725,0.376956,0.182339,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.001200,0.024817,-0.002352,0.999689,0.167422,0.017368,0.164079,0.000275,0.198289,0.012585,0.122451,0.958537,0.145925,0.034513,0.140715,0.971859,0.217102,0.012817,0.179403,0.915909,0.176131,0.013492,0.223676,0.938362,0.099660,0.013433,0.154152,0.871346,0.198246,0.012533,0.122482,0.146046,0.034278,0.141006,0.217569,0.013155,0.179595,0.176512,0.013514,0.223814,0.099302,0.013629,0.153850,0.000562,0.018398,0.004417,0.009191,0.018268,-0.195379,0.159275,0.018584,-0.188607,0.200774,0.376963,0.203677,0.169287,0.375894,0.104624,0.098702,0.377167,0.182197,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.001177,0.024855,-0.002296,0.999688,0.167421,0.017364,0.164084,0.000279,0.198287,0.012583,0.122453,0.958537,0.145921,0.034506,0.140720,0.971859,0.217103,0.012819,0.179404,0.915909,0.176136,0.013491,0.223680,0.938362,0.099660,0.013421,0.154162,0.871346,0.198245,0.012531,0.122487,0.146046,0.034268,0.141012,0.217569,0.013155,0.179589,0.176514,0.013517,0.223822,0.099291,0.013628,0.153849,0.000562,0.018388,0.004420,0.009191,0.018264,-0.195379,0.159273,0.018585,-0.188604,0.200784,0.376958,0.203664,0.169286,0.375885,0.104632,0.098699,0.377165,0.182208,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.001148,0.024844,-0.002325,0.999688,0.167415,0.017364,0.164087,0.000271,0.198281,0.012578,0.122458,0.958308,0.145916,0.034505,0.140722,0.971795,0.217096,0.012817,0.179409,0.915877,0.176128,0.013494,0.223685,0.936655,0.099653,0.013424,0.154164,0.868918,0.198240,0.012527,0.122495,0.146048,0.034260,0.141010,0.217547,0.013154,0.179589,0.176508,0.013520,0.223833,0.099297,0.013618,0.153873,0.000560,0.018382,0.004427,0.009282,0.018377,-0.195309,0.159268,0.018582,-0.188600,0.200789,0.376956,0.203671,0.169289,0.375875,0.104654,0.098722,0.376957,0.182341,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.001138,0.024809,-0.002348,0.999689,0.167418,0.017363,0.164093,0.000276,0.198287,0.012576,0.122465,0.957870,0.145922,0.034506,0.140725,0.971087,0.217099,0.012815,0.179418,0.916451,0.176127,0.013495,0.223690,0.937881,0.099657,0.013427,0.154164,0.872234,0.198240,0.012526,0.122499,0.146051,0.034267,0.141016,0.217565,0.013150,0.179606,0.176503,0.013528,0.223838,0.099304,0.013611,0.153877,0.000563,0.018384,0.004429,0.009181,0.018268,-0.195374,0.159268,0.018584,-0.188597,0.200788,0.376962,0.203677,0.169292,0.375876,0.104662,0.098703,0.377156,0.182227,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.001186,0.024852,-0.002321,0.999688,0.167423,0.017365,0.164084,0.000279,0.198288,0.012583,0.122453,0.958048,0.145924,0.034509,0.140720,0.971317,0.217105,0.012818,0.179404,0.915067,0.176137,0.013491,0.223680,0.937158,0.099661,0.013426,0.154161,0.869312,0.198247,0.012534,0.122486,0.146046,0.034268,0.141012,0.217575,0.013152,0.179593,0.176516,0.013520,0.223820,0.099294,0.013627,0.153855,0.000560,0.018389,0.004422,0.009230,0.018331,-0.195409,0.159274,0.018586,-0.188605,0.200787,0.376959,0.203673,0.169288,0.375888,0.104634,0.098706,0.377160,0.182227,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.001188,0.024858,-0.002328,0.999688,0.167423,0.017366,0.164085,0.000278,0.198288,0.012584,0.122454,0.958048,0.145924,0.034510,0.140722,0.971317,0.217105,0.012818,0.179405,0.915067,0.176138,0.013492,0.223682,0.937158,0.099662,0.013428,0.154163,0.869312,0.198244,0.012536,0.122485,0.146049,0.034267,0.141008,0.217575,0.013155,0.179597,0.176514,0.013521,0.223828,0.099304,0.013621,0.153873,0.000563,0.018384,0.004427,0.009402,0.018450,-0.195292,0.159270,0.018587,-0.188603,0.200790,0.376956,0.203668,0.169283,0.375882,0.104645,0.098700,0.377164,0.182212,,,,,,,,,,,,,,,,,,,,,,,,,,,
