Format Version,1.21,Take Name,Take 2024-08-16 11.37.55 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.37.55.441 AM,Total Frames in Take,2152,Total Exported Frames,2152,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.003217,-0.095457,-0.002462,-0.995425,0.126247,0.017289,0.139523,0.000748,0.150983,0.012424,0.093991,0.852218,0.101490,0.034022,0.119298,0.889681,0.177638,0.013341,0.147715,0.805839,0.143317,0.014027,0.197321,0.716353,0.057809,0.012630,0.139288,0.801997,0.150847,0.012457,0.093615,0.101383,0.034127,0.119232,0.178066,0.013385,0.147811,0.143576,0.014054,0.198191,0.057148,0.013167,0.138662,0.009325,0.018360,-0.195304,0.000706,0.018396,0.004413,0.159352,0.018599,-0.188660,0.164130,0.376637,0.174299,0.119843,0.375346,0.081190,0.059721,0.376732,0.166500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.003328,-0.095543,-0.002177,-0.995417,0.126265,0.017309,0.139530,0.000695,0.150990,0.012418,0.093996,0.855837,0.101514,0.034050,0.119305,0.891269,0.177655,0.013335,0.147715,0.818112,0.143343,0.014054,0.197327,0.732588,0.057824,0.012687,0.139309,0.833413,0.150848,0.012458,0.093622,0.101383,0.034130,0.119226,0.178064,0.013383,0.147807,0.143574,0.014054,0.198190,0.057311,0.013072,0.138870,0.009317,0.018353,-0.195307,0.000703,0.018391,0.004414,0.159349,0.018598,-0.188661,0.164123,0.376645,0.174303,0.119847,0.375340,0.081201,0.059719,0.376729,0.166502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.003228,-0.095445,-0.002447,-0.995426,0.126246,0.017292,0.139521,0.000747,0.150983,0.012425,0.093990,0.855837,0.101490,0.034025,0.119295,0.891269,0.177636,0.013343,0.147714,0.818112,0.143314,0.014031,0.197320,0.732588,0.057807,0.012634,0.139285,0.833413,0.150844,0.012455,0.093620,0.101385,0.034131,0.119227,0.178065,0.013388,0.147811,0.143577,0.014059,0.198189,0.057146,0.013168,0.138660,0.009388,0.018435,-0.195429,0.000701,0.018393,0.004411,0.159352,0.018599,-0.188662,0.164129,0.376635,0.174295,0.119840,0.375345,0.081197,0.059717,0.376731,0.166496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.003230,-0.095457,-0.002410,-0.995426,0.126247,0.017293,0.139519,0.000751,0.150982,0.012424,0.093987,0.851300,0.101492,0.034028,0.119293,0.888217,0.177637,0.013341,0.147711,0.805497,0.143316,0.014032,0.197318,0.715695,0.057807,0.012641,0.139285,0.800772,0.150848,0.012455,0.093619,0.101382,0.034141,0.119221,0.178069,0.013383,0.147804,0.143575,0.014062,0.198191,0.057148,0.013170,0.138664,0.009261,0.018298,-0.195405,0.000704,0.018401,0.004405,0.159351,0.018598,-0.188668,0.164127,0.376641,0.174292,0.119835,0.375353,0.081185,0.059719,0.376728,0.166489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.003330,-0.095501,-0.002150,-0.995421,0.126264,0.017313,0.139527,0.000697,0.150993,0.012420,0.093995,0.851300,0.101516,0.034055,0.119300,0.888217,0.177653,0.013337,0.147716,0.805497,0.143337,0.014058,0.197326,0.715695,0.057823,0.012695,0.139300,0.800772,0.150849,0.012461,0.093617,0.101386,0.034139,0.119222,0.178063,0.013386,0.147808,0.143568,0.014059,0.198190,0.057309,0.013084,0.138851,0.009262,0.018298,-0.195406,0.000700,0.018402,0.004403,0.159353,0.018601,-0.188662,0.164134,0.376638,0.174293,0.119823,0.375367,0.081150,0.059720,0.376727,0.166492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.003234,-0.095473,-0.002452,-0.995424,0.126248,0.017291,0.139521,0.000751,0.150982,0.012424,0.093989,0.850488,0.101491,0.034024,0.119296,0.888603,0.177639,0.013343,0.147712,0.805646,0.143319,0.014031,0.197319,0.715909,0.057809,0.012633,0.139289,0.801063,0.150848,0.012457,0.093616,0.101383,0.034131,0.119228,0.178071,0.013387,0.147805,0.143579,0.014061,0.198194,0.057153,0.013155,0.138679,0.009423,0.018148,-0.195129,0.000705,0.018398,0.004410,0.159355,0.018599,-0.188660,0.164136,0.376640,0.174298,0.119835,0.375355,0.081180,0.059717,0.376736,0.166508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.003207,-0.095465,-0.002471,-0.995425,0.126247,0.017293,0.139520,0.000747,0.150982,0.012430,0.093988,0.850488,0.101489,0.034026,0.119296,0.888603,0.177637,0.013346,0.147711,0.805646,0.143317,0.014030,0.197319,0.715909,0.057808,0.012633,0.139287,0.801063,0.150847,0.012460,0.093622,0.101382,0.034131,0.119228,0.178068,0.013390,0.147801,0.143575,0.014060,0.198194,0.057150,0.013164,0.138668,0.009318,0.018350,-0.195303,0.000705,0.018400,0.004408,0.159352,0.018601,-0.188660,0.164129,0.376644,0.174308,0.119842,0.375348,0.081202,0.059717,0.376724,0.166505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.003239,-0.095421,-0.002448,-0.995429,0.126246,0.017291,0.139522,0.000748,0.150985,0.012423,0.093993,0.851780,0.101491,0.034024,0.119295,0.889246,0.177636,0.013342,0.147718,0.805357,0.143311,0.014031,0.197323,0.716312,0.057807,0.012633,0.139283,0.801919,0.150845,0.012455,0.093622,0.101385,0.034132,0.119224,0.178071,0.013391,0.147813,0.143569,0.014057,0.198196,0.057153,0.013159,0.138667,0.009255,0.018298,-0.195403,0.000703,0.018395,0.004408,0.159349,0.018600,-0.188661,0.164127,0.376643,0.174298,0.119831,0.375352,0.081184,0.059716,0.376729,0.166502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.003377,-0.095525,-0.002136,-0.995419,0.126265,0.017309,0.139527,0.000698,0.150991,0.012412,0.093994,0.851780,0.101516,0.034050,0.119299,0.889246,0.177654,0.013333,0.147714,0.805357,0.143340,0.014059,0.197325,0.716312,0.057823,0.012693,0.139304,0.801919,0.150846,0.012454,0.093618,0.101381,0.034138,0.119219,0.178065,0.013385,0.147808,0.143574,0.014054,0.198189,0.057312,0.013080,0.138865,0.009258,0.018293,-0.195403,0.000702,0.018399,0.004406,0.159353,0.018601,-0.188664,0.164134,0.376635,0.174290,0.119835,0.375356,0.081169,0.059719,0.376725,0.166501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.003233,-0.095443,-0.002463,-0.995427,0.126247,0.017292,0.139521,0.000749,0.150984,0.012426,0.093991,0.852256,0.101490,0.034025,0.119295,0.889638,0.177637,0.013345,0.147715,0.805585,0.143315,0.014033,0.197321,0.714884,0.057808,0.012633,0.139285,0.800888,0.150847,0.012454,0.093624,0.101385,0.034133,0.119229,0.178072,0.013394,0.147803,0.143575,0.014059,0.198197,0.057148,0.013170,0.138654,0.009394,0.018430,-0.195428,0.000703,0.018400,0.004408,0.159355,0.018604,-0.188662,0.164135,0.376636,0.174295,0.119839,0.375362,0.081169,0.059723,0.376723,0.166497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
