Format Version,1.21,Take Name,Take 2024-08-16 11.33.48 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.33.48.977 AM,Total Frames in Take,2170,Total Exported Frames,2170,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,-0.000334,0.000445,0.000318,-1.000000,0.130745,0.017331,0.166420,0.000018,0.163695,0.012606,0.126412,0.995009,0.110388,0.034350,0.141968,0.994906,0.179606,0.013009,0.184242,0.994834,0.136448,0.013589,0.226388,0.996266,0.063588,0.013102,0.153090,0.992525,0.163675,0.012585,0.126434,0.110344,0.034297,0.142026,0.179640,0.013019,0.184245,0.136503,0.013574,0.226415,0.063551,0.013049,0.153164,0.009252,0.018309,-0.195404,0.000685,0.018400,0.004403,0.159339,0.018610,-0.188652,0.161517,0.376698,0.207608,0.060561,0.376299,0.180780,0.135190,0.375861,0.107308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,-0.000353,0.000424,0.000361,-1.000000,0.130744,0.017332,0.166420,0.000020,0.163692,0.012606,0.126411,0.994647,0.110388,0.034354,0.141970,0.996345,0.179606,0.013005,0.184240,0.995435,0.136450,0.013587,0.226388,0.995348,0.063586,0.013110,0.153093,0.993314,0.163675,0.012585,0.126434,0.110348,0.034298,0.142031,0.179636,0.013015,0.184243,0.136503,0.013566,0.226404,0.063547,0.013051,0.153176,0.009246,0.018311,-0.195404,0.000682,0.018394,0.004408,0.159342,0.018613,-0.188649,0.161510,0.376706,0.207614,0.060554,0.376296,0.180785,0.135185,0.375862,0.107308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,-0.000474,0.000625,0.000087,-1.000000,0.130737,0.017315,0.166407,0.000053,0.163703,0.012616,0.126410,0.994647,0.110380,0.034331,0.141953,0.996345,0.179593,0.013010,0.184245,0.995435,0.136420,0.013558,0.226376,0.995348,0.063586,0.013059,0.153052,0.993314,0.163670,0.012582,0.126440,0.110347,0.034294,0.142039,0.179636,0.013017,0.184253,0.136502,0.013579,0.226412,0.063487,0.013121,0.152951,0.009405,0.018152,-0.195124,0.000682,0.018394,0.004410,0.159336,0.018610,-0.188645,0.161511,0.376699,0.207616,0.060557,0.376299,0.180787,0.135186,0.375862,0.107312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,-0.000344,0.000423,0.000338,-1.000000,0.130744,0.017332,0.166419,0.000021,0.163692,0.012607,0.126410,0.994739,0.110386,0.034352,0.141968,0.996077,0.179605,0.013008,0.184238,0.995010,0.136450,0.013589,0.226387,0.995676,0.063586,0.013107,0.153092,0.992598,0.163676,0.012588,0.126433,0.110340,0.034297,0.142027,0.179636,0.013016,0.184242,0.136506,0.013571,0.226408,0.063548,0.013058,0.153167,0.009288,0.018372,-0.195436,0.000684,0.018396,0.004406,0.159340,0.018610,-0.188650,0.161508,0.376709,0.207622,0.060554,0.376295,0.180784,0.135158,0.375861,0.107327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,-0.000329,0.000417,0.000334,-1.000000,0.130747,0.017334,0.166422,0.000018,0.163695,0.012607,0.126413,0.994739,0.110389,0.034353,0.141971,0.996077,0.179609,0.013010,0.184241,0.995010,0.136454,0.013592,0.226390,0.995676,0.063589,0.013108,0.153096,0.992598,0.163674,0.012587,0.126438,0.110348,0.034297,0.142035,0.179641,0.013020,0.184243,0.136509,0.013576,0.226411,0.063554,0.013046,0.153177,0.009417,0.018153,-0.195128,0.000685,0.018398,0.004407,0.159340,0.018610,-0.188652,0.161526,0.376700,0.207611,0.060559,0.376306,0.180789,0.135194,0.375863,0.107309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,-0.000337,0.000441,0.000368,-1.000000,0.130747,0.017332,0.166423,0.000017,0.163696,0.012604,0.126415,0.995984,0.110391,0.034353,0.141971,0.997511,0.179607,0.013005,0.184244,0.996188,0.136450,0.013589,0.226391,0.995144,0.063589,0.013111,0.153094,0.993305,0.163674,0.012585,0.126438,0.110353,0.034293,0.142039,0.179636,0.013015,0.184247,0.136507,0.013576,0.226416,0.063551,0.013054,0.153169,0.009248,0.018304,-0.195399,0.000685,0.018396,0.004408,0.159339,0.018609,-0.188649,0.161515,0.376704,0.207624,0.060562,0.376301,0.180788,0.135189,0.375861,0.107309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,-0.000302,0.000417,0.000305,-1.000000,0.130746,0.017329,0.166421,0.000019,0.163693,0.012602,0.126412,0.995984,0.110387,0.034345,0.141969,0.997511,0.179607,0.013009,0.184240,0.996188,0.136452,0.013590,0.226389,0.995144,0.063588,0.013098,0.153095,0.993305,0.163678,0.012585,0.126430,0.110332,0.034287,0.142029,0.179639,0.013020,0.184248,0.136508,0.013577,0.226417,0.063559,0.013047,0.153174,0.009253,0.018310,-0.195404,0.000690,0.018396,0.004408,0.159338,0.018610,-0.188648,0.161550,0.376667,0.207603,0.060557,0.376295,0.180787,0.135188,0.375857,0.107318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,-0.000306,0.000438,0.000300,-1.000000,0.130740,0.017329,0.166422,0.000017,0.163690,0.012603,0.126414,0.996543,0.110382,0.034345,0.141969,0.995335,0.179601,0.013009,0.184243,0.995780,0.136445,0.013590,0.226390,0.997228,0.063583,0.013097,0.153093,0.993834,0.163669,0.012586,0.126433,0.110331,0.034286,0.142027,0.179632,0.013021,0.184251,0.136500,0.013576,0.226418,0.063558,0.013047,0.153172,0.009248,0.018311,-0.195402,0.000690,0.018393,0.004404,0.159335,0.018612,-0.188646,0.161510,0.376706,0.207621,0.060554,0.376301,0.180788,0.135187,0.375861,0.107304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,-0.000476,0.000615,0.000095,-1.000000,0.130742,0.017316,0.166404,0.000050,0.163708,0.012617,0.126406,0.996543,0.110386,0.034332,0.141949,0.995335,0.179599,0.013010,0.184241,0.995780,0.136427,0.013559,0.226373,0.997228,0.063592,0.013061,0.153050,0.993834,0.163678,0.012582,0.126433,0.110351,0.034297,0.142029,0.179640,0.013019,0.184246,0.136506,0.013578,0.226415,0.063495,0.013122,0.152956,0.009386,0.018442,-0.195432,0.000691,0.018397,0.004403,0.159339,0.018606,-0.188648,0.161512,0.376703,0.207614,0.060560,0.376295,0.180783,0.135189,0.375864,0.107300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,-0.000308,0.000406,0.000286,-1.000000,0.130747,0.017331,0.166420,0.000022,0.163694,0.012606,0.126410,0.994080,0.110387,0.034347,0.141968,0.994808,0.179609,0.013012,0.184238,0.994870,0.136455,0.013592,0.226388,0.995962,0.063589,0.013097,0.153096,0.993299,0.163680,0.012584,0.126435,0.110335,0.034289,0.142029,0.179643,0.013024,0.184243,0.136512,0.013571,0.226407,0.063556,0.013042,0.153180,0.009417,0.018163,-0.195136,0.000691,0.018396,0.004401,0.159342,0.018612,-0.188653,0.161519,0.376703,0.207615,0.060559,0.376302,0.180787,0.135189,0.375864,0.107305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.320000,-0.000342,0.000443,0.000357,-1.000000,0.130747,0.017334,0.166419,0.000016,0.163697,0.012606,0.126411,0.994080,0.110391,0.034354,0.141968,0.994808,0.179608,0.013007,0.184241,0.994870,0.136451,0.013590,0.226387,0.995962,0.063590,0.013110,0.153090,0.993299,0.163673,0.012589,0.126430,0.110349,0.034294,0.142033,0.179637,0.013014,0.184246,0.136505,0.013577,0.226408,0.063562,0.013051,0.153168,0.009250,0.018310,-0.195404,0.000689,0.018398,0.004402,0.159339,0.018611,-0.188651,0.161518,0.376695,0.207616,0.060563,0.376298,0.180791,0.135196,0.375859,0.107313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.340000,-0.000307,0.000400,0.000292,-1.000000,0.130742,0.017327,0.166422,0.000023,0.163689,0.012601,0.126411,0.994466,0.110382,0.034343,0.141971,0.993688,0.179605,0.013008,0.184239,0.994735,0.136451,0.013588,0.226390,0.996495,0.063584,0.013094,0.153098,0.992073,0.163678,0.012584,0.126432,0.110326,0.034284,0.142031,0.179640,0.013016,0.184247,0.136505,0.013573,0.226411,0.063550,0.013048,0.153178,0.009251,0.018315,-0.195405,0.000692,0.018393,0.004406,0.159340,0.018610,-0.188647,0.161508,0.376707,0.207628,0.060558,0.376299,0.180795,0.135186,0.375861,0.107311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
