Format Version,1.21,Take Name,Take 2024-08-16 12.36.54 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.36.54.276 AM,Total Frames in Take,2337,Total Exported Frames,2337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.004219,0.955515,-0.011469,-0.294690,0.090427,0.017661,0.204926,0.054868,0.085772,0.014197,0.256646,1.000000,0.121066,0.034818,0.213224,0.895919,0.040018,0.013761,0.217865,0.806893,0.051888,0.012883,0.158724,0.869767,0.153392,0.012644,0.178171,0.828169,,,,0.120745,0.034622,0.212908,0.040698,0.013513,0.217411,0.051205,0.013320,0.158543,0.153561,0.012305,0.178776,0.158018,0.018643,-0.188636,-0.000912,0.018391,0.004200,0.138239,0.376367,0.148569,0.119256,0.376344,0.250609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.004242,0.955510,-0.011512,-0.294703,0.090426,0.017663,0.204929,0.054869,0.085772,0.014204,0.256649,1.000000,0.121066,0.034820,0.213224,0.895919,0.040018,0.013766,0.217869,0.806893,0.051885,0.012882,0.158729,0.869767,0.153391,0.012642,0.178173,0.828169,,,,0.120749,0.034618,0.212900,0.040692,0.013520,0.217407,0.051206,0.013313,0.158562,0.153558,0.012311,0.178772,0.158015,0.018639,-0.188629,-0.000915,0.018388,0.004199,0.138247,0.376406,0.148571,0.119252,0.376341,0.250606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.004262,0.955517,-0.011468,-0.294681,0.090426,0.017664,0.204927,0.054869,0.085769,0.014202,0.256647,1.000000,0.121066,0.034819,0.213225,0.896697,0.040016,0.013769,0.217865,0.806082,0.051887,0.012889,0.158725,0.869717,0.153391,0.012642,0.178174,0.828224,,,,0.120749,0.034620,0.212903,0.040692,0.013519,0.217406,0.051207,0.013318,0.158554,0.153557,0.012304,0.178778,0.158017,0.018640,-0.188631,-0.000915,0.018393,0.004199,0.138241,0.376406,0.148566,0.119250,0.376341,0.250604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.004321,0.955515,-0.011451,-0.294688,0.090416,0.017662,0.204927,0.054863,0.085759,0.014200,0.256647,1.000000,0.121058,0.034813,0.213224,0.894892,0.040006,0.013773,0.217865,0.804643,0.051876,0.012891,0.158725,0.873044,0.153380,0.012631,0.178172,0.828686,,,,0.120744,0.034615,0.212907,0.040694,0.013521,0.217407,0.051204,0.013322,0.158544,0.153525,0.012332,0.178741,0.158020,0.018638,-0.188633,-0.000913,0.018392,0.004200,0.138233,0.376367,0.148563,0.119256,0.376337,0.250604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.004267,0.955518,-0.011495,-0.294678,0.090425,0.017664,0.204927,0.054868,0.085767,0.014205,0.256647,1.000000,0.121065,0.034819,0.213224,0.896540,0.040015,0.013770,0.217864,0.806797,0.051886,0.012886,0.158724,0.869632,0.153390,0.012640,0.178174,0.828217,,,,0.120745,0.034621,0.212903,0.040690,0.013522,0.217406,0.051204,0.013320,0.158551,0.153559,0.012301,0.178779,0.158018,0.018642,-0.188630,-0.000914,0.018393,0.004199,0.138246,0.376407,0.148571,0.119250,0.376346,0.250621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.004201,0.955512,-0.011471,-0.294700,0.090423,0.017660,0.204929,0.054869,0.085768,0.014196,0.256649,1.000000,0.121061,0.034818,0.213226,0.896540,0.040014,0.013759,0.217869,0.806797,0.051883,0.012882,0.158728,0.869632,0.153388,0.012646,0.178172,0.828217,,,,0.120743,0.034620,0.212905,0.040685,0.013507,0.217411,0.051206,0.013312,0.158566,0.153559,0.012300,0.178783,0.158019,0.018641,-0.188628,-0.000914,0.018389,0.004204,0.138236,0.376366,0.148571,0.119256,0.376341,0.250616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.004227,0.955515,-0.011490,-0.294688,0.090423,0.017661,0.204933,0.054868,0.085767,0.014199,0.256653,1.000000,0.121062,0.034818,0.213230,0.897867,0.040014,0.013762,0.217871,0.806819,0.051883,0.012881,0.158731,0.869908,0.153388,0.012643,0.178178,0.828950,,,,0.120741,0.034627,0.212911,0.040683,0.013511,0.217410,0.051204,0.013313,0.158565,0.153555,0.012302,0.178781,0.158015,0.018640,-0.188625,-0.000910,0.018389,0.004203,0.138237,0.376362,0.148574,0.119238,0.376356,0.250632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.004305,0.955514,-0.011497,-0.294691,0.090415,0.017662,0.204932,0.054871,0.085759,0.014205,0.256653,1.000000,0.121056,0.034816,0.213228,0.895817,0.040005,0.013772,0.217871,0.803116,0.051875,0.012886,0.158731,0.871418,0.153379,0.012634,0.178178,0.827207,,,,0.120746,0.034625,0.212911,0.040689,0.013515,0.217407,0.051206,0.013306,0.158567,0.153526,0.012286,0.178789,0.158015,0.018641,-0.188630,-0.000913,0.018386,0.004199,0.138229,0.376364,0.148566,0.119236,0.376355,0.250630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.004222,0.955520,-0.011494,-0.294672,0.090426,0.017658,0.204932,0.054876,0.085769,0.014197,0.256652,1.000000,0.121065,0.034816,0.213230,0.896652,0.040017,0.013759,0.217869,0.802621,0.051889,0.012878,0.158729,0.867940,0.153393,0.012641,0.178179,0.827114,,,,0.120744,0.034621,0.212913,0.040699,0.013513,0.217397,0.051211,0.013304,0.158567,0.153565,0.012273,0.178808,0.158016,0.018636,-0.188626,-0.000907,0.018383,0.004203,0.138237,0.376361,0.148576,0.119247,0.376353,0.250625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.004270,0.955509,-0.011551,-0.294704,0.090423,0.017659,0.204934,0.054872,0.085768,0.014205,0.256655,1.000000,0.121063,0.034816,0.213228,0.896652,0.040014,0.013764,0.217875,0.802621,0.051882,0.012875,0.158734,0.867940,0.153387,0.012634,0.178178,0.827114,,,,0.120746,0.034638,0.212920,0.040703,0.013504,0.217412,0.051214,0.013304,0.158567,0.153535,0.012286,0.178783,0.158020,0.018637,-0.188622,-0.000904,0.018386,0.004201,0.138241,0.376361,0.148576,0.119251,0.376352,0.250626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
