Format Version,1.21,Take Name,Take 2024-08-16 12.02.44 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.02.44.267 AM,Total Frames in Take,1990,Total Exported Frames,1990,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.000803,-0.080217,0.000806,0.996777,0.215025,0.017181,0.148020,0.000351,0.253929,0.012568,0.113759,0.933327,0.198777,0.034182,0.120654,0.918392,0.260439,0.012943,0.173383,0.839035,0.211127,0.013387,0.208129,0.946447,0.150852,0.012824,0.124176,0.923441,0.254050,0.012406,0.114054,0.198769,0.034231,0.120594,0.259881,0.012864,0.172845,0.211380,0.013476,0.208484,0.150965,0.012757,0.124274,0.000500,0.018401,0.004470,0.009191,0.018684,-0.195590,0.159272,0.018580,-0.188608,0.229375,0.375850,0.091140,0.239626,0.376100,0.193928,0.143899,0.376868,0.151107,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.000734,-0.080119,0.000833,0.996785,0.215017,0.017180,0.148029,0.000347,0.253914,0.012564,0.113761,0.933327,0.198763,0.034177,0.120663,0.918392,0.260436,0.012948,0.173383,0.839035,0.211131,0.013395,0.208140,0.946447,0.150840,0.012818,0.124199,0.923441,0.254050,0.012403,0.114059,0.198771,0.034229,0.120598,0.259883,0.012861,0.172845,0.211383,0.013484,0.208490,0.150926,0.012735,0.124311,0.000499,0.018395,0.004472,0.009431,0.018854,-0.195527,0.159271,0.018578,-0.188607,0.229370,0.375853,0.091146,0.239538,0.376192,0.194083,0.143903,0.376868,0.151110,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.000467,-0.080082,0.001015,0.996788,0.215030,0.017193,0.148044,0.000317,0.253926,0.012570,0.113775,0.931808,0.198769,0.034169,0.120670,0.921339,0.260452,0.012989,0.173397,0.839942,0.211149,0.013440,0.208157,0.946861,0.150852,0.012796,0.124220,0.926545,0.254052,0.012400,0.114060,0.198771,0.034218,0.120603,0.259957,0.012975,0.172953,0.211381,0.013493,0.208501,0.150928,0.012731,0.124317,0.000500,0.018400,0.004472,0.009382,0.018801,-0.195623,0.159272,0.018580,-0.188602,0.229374,0.375846,0.091157,0.239572,0.376187,0.194029,0.143902,0.376861,0.151120,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.000548,-0.080103,0.000985,0.996786,0.215030,0.017194,0.148039,0.000316,0.253928,0.012575,0.113771,0.938968,0.198771,0.034175,0.120667,0.926920,0.260452,0.012984,0.173393,0.858291,0.211147,0.013431,0.208151,0.947247,0.150854,0.012804,0.124212,0.933375,0.254053,0.012406,0.114057,0.198773,0.034229,0.120597,0.259953,0.012967,0.172947,0.211381,0.013478,0.208484,0.150930,0.012735,0.124311,0.000501,0.018400,0.004473,0.009146,0.018526,-0.195489,0.159267,0.018579,-0.188609,0.229379,0.375846,0.091154,0.239637,0.376124,0.193943,0.143898,0.376867,0.151103,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.000575,-0.080089,0.000969,0.996787,0.215030,0.017193,0.148033,0.000317,0.253927,0.012575,0.113764,0.937551,0.198771,0.034177,0.120663,0.926599,0.260452,0.012980,0.173386,0.859744,0.211149,0.013427,0.208145,0.946739,0.150853,0.012807,0.124208,0.932935,0.254053,0.012407,0.114053,0.198770,0.034233,0.120592,0.259962,0.012951,0.172931,0.211383,0.013482,0.208487,0.150927,0.012742,0.124303,0.000500,0.018401,0.004472,0.009186,0.018682,-0.195591,0.159273,0.018582,-0.188610,0.229367,0.375855,0.091133,0.239564,0.376186,0.194032,0.143897,0.376871,0.151097,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.000568,-0.080094,0.000982,0.996787,0.215031,0.017194,0.148035,0.000316,0.253928,0.012577,0.113766,0.937551,0.198771,0.034177,0.120664,0.926599,0.260453,0.012983,0.173388,0.859744,0.211149,0.013429,0.208147,0.946739,0.150854,0.012806,0.124209,0.932935,0.254054,0.012408,0.114056,0.198772,0.034235,0.120589,0.259959,0.012959,0.172939,0.211382,0.013479,0.208480,0.150927,0.012736,0.124309,0.000503,0.018405,0.004466,0.009146,0.018527,-0.195492,0.159276,0.018580,-0.188613,0.229371,0.375850,0.091142,0.239629,0.376099,0.193925,0.143901,0.376868,0.151104,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.000503,-0.080180,0.000964,0.996780,0.215038,0.017196,0.148039,0.000322,0.253940,0.012572,0.113777,0.937975,0.198783,0.034176,0.120663,0.927272,0.260455,0.012986,0.173400,0.859198,0.211145,0.013438,0.208151,0.947068,0.150864,0.012807,0.124202,0.933710,0.254049,0.012402,0.114061,0.198773,0.034225,0.120602,0.259954,0.012967,0.172952,0.211382,0.013498,0.208499,0.150966,0.012752,0.124286,0.000500,0.018399,0.004476,0.009145,0.018530,-0.195486,0.159271,0.018579,-0.188602,0.229383,0.375840,0.091163,0.239538,0.376193,0.194089,0.143902,0.376863,0.151115,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.000493,-0.080083,0.000988,0.996788,0.215031,0.017192,0.148045,0.000317,0.253927,0.012569,0.113776,0.939413,0.198770,0.034170,0.120672,0.926873,0.260453,0.012984,0.173398,0.857932,0.211150,0.013435,0.208157,0.946805,0.150853,0.012799,0.124221,0.933193,0.254050,0.012401,0.114062,0.198775,0.034218,0.120601,0.259952,0.012969,0.172952,0.211384,0.013485,0.208495,0.150930,0.012730,0.124323,0.000497,0.018399,0.004474,0.009146,0.018528,-0.195482,0.159271,0.018579,-0.188602,0.229375,0.375838,0.091164,0.239571,0.376186,0.194034,0.143899,0.376866,0.151114,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.000590,-0.080069,0.000962,0.996789,0.215021,0.017192,0.148033,0.000342,0.253917,0.012574,0.113762,0.935327,0.198761,0.034177,0.120664,0.922153,0.260444,0.012978,0.173384,0.841862,0.211142,0.013424,0.208145,0.944476,0.150843,0.012807,0.124210,0.928145,0.254048,0.012401,0.114063,0.198769,0.034226,0.120606,0.259875,0.012973,0.172910,0.211384,0.013479,0.208483,0.150926,0.012733,0.124316,0.000498,0.018399,0.004475,0.008990,0.017777,-0.194968,0.159271,0.018578,-0.188608,0.229367,0.375848,0.091145,0.239567,0.376186,0.194023,0.143897,0.376866,0.151112,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.000529,-0.080099,0.000954,0.996786,0.215024,0.017195,0.148042,0.000318,0.253921,0.012572,0.113774,0.935327,0.198766,0.034176,0.120669,0.922153,0.260446,0.012982,0.173396,0.841862,0.211142,0.013434,0.208154,0.944476,0.150847,0.012808,0.124215,0.928145,0.254044,0.012404,0.114061,0.198764,0.034228,0.120598,0.259946,0.012967,0.172948,0.211374,0.013484,0.208494,0.150927,0.012741,0.124315,0.000494,0.018397,0.004482,0.009192,0.018582,-0.195385,0.159265,0.018582,-0.188600,0.229353,0.375862,0.091126,0.239561,0.376186,0.194027,0.143891,0.376870,0.151105,,,,,,,,,,,,,,,,,,,,,,,,
