Format Version,1.21,Take Name,Take 2024-08-16 11.45.41 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.45.41.177 AM,Total Frames in Take,2292,Total Exported Frames,2292,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.003400,-0.060822,0.000072,-0.998143,0.200145,0.017590,0.180833,0.000407,0.227959,0.012569,0.137132,0.924670,0.176933,0.034424,0.158929,0.915492,0.250822,0.013403,0.192576,0.809519,0.213143,0.014294,0.239679,0.935237,0.131866,0.013257,0.175848,0.906097,0.227887,0.012688,0.136780,0.176917,0.034333,0.159096,0.251684,0.013091,0.192656,0.212975,0.014254,0.239429,0.131631,0.013360,0.175816,0.000565,0.018392,0.004414,0.009188,0.018686,-0.195588,0.159273,0.018587,-0.188611,0.235979,0.376654,0.217600,0.197799,0.375978,0.121733,0.132563,0.376737,0.203483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.002095,-0.058925,0.002431,-0.998257,0.199893,0.017698,0.180609,0.000515,0.227850,0.012643,0.137002,0.924670,0.176847,0.034695,0.158656,0.915492,0.250505,0.013238,0.192535,0.809519,0.212650,0.014203,0.239496,0.935237,0.131614,0.013708,0.175354,0.906097,0.227881,0.012687,0.136778,0.176918,0.034339,0.159100,0.251688,0.013098,0.192656,0.212969,0.014264,0.239436,0.131258,0.013767,0.175250,0.000569,0.018392,0.004415,0.009249,0.018730,-0.195485,0.159274,0.018590,-0.188606,0.235977,0.376657,0.217608,0.197791,0.375979,0.121733,0.132467,0.376803,0.203567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.003432,-0.060803,0.000041,-0.998144,0.200145,0.017590,0.180836,0.000403,0.227961,0.012568,0.137136,0.915629,0.176933,0.034421,0.158930,0.916306,0.250822,0.013408,0.192581,0.779911,0.213141,0.014299,0.239683,0.904309,0.131866,0.013252,0.175849,0.840586,0.227883,0.012688,0.136784,0.176917,0.034337,0.159094,0.251676,0.013104,0.192671,0.212974,0.014251,0.239429,0.131643,0.013348,0.175828,0.000569,0.018395,0.004414,0.009194,0.018687,-0.195586,0.159273,0.018590,-0.188608,0.235978,0.376655,0.217603,0.197791,0.375977,0.121737,0.132462,0.376803,0.203566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.003437,-0.060826,0.000040,-0.998142,0.200144,0.017588,0.180836,0.000405,0.227959,0.012566,0.137135,0.926540,0.176931,0.034420,0.158931,0.916043,0.250823,0.013406,0.192579,0.810101,0.213144,0.014298,0.239682,0.934645,0.131866,0.013250,0.175852,0.906926,0.227881,0.012684,0.136787,0.176917,0.034334,0.159099,0.251685,0.013093,0.192654,0.212974,0.014252,0.239432,0.131639,0.013351,0.175823,0.000567,0.018394,0.004417,0.009149,0.018534,-0.195487,0.159273,0.018587,-0.188605,0.235983,0.376655,0.217605,0.197797,0.375978,0.121736,0.132565,0.376732,0.203485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.003413,-0.060800,0.000024,-0.998144,0.200144,0.017588,0.180834,0.000405,0.227961,0.012569,0.137134,0.925586,0.176932,0.034420,0.158929,0.915827,0.250822,0.013407,0.192580,0.809545,0.213140,0.014295,0.239681,0.935552,0.131866,0.013249,0.175847,0.906632,0.227883,0.012688,0.136784,0.176917,0.034339,0.159093,0.251683,0.013093,0.192660,0.212975,0.014254,0.239434,0.131637,0.013346,0.175819,0.000570,0.018391,0.004418,0.009153,0.018534,-0.195488,0.159270,0.018588,-0.188608,0.235981,0.376656,0.217605,0.197795,0.375982,0.121729,0.132509,0.376702,0.203544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.003434,-0.060829,0.000037,-0.998142,0.200148,0.017590,0.180832,0.000407,0.227962,0.012569,0.137130,0.925586,0.176935,0.034421,0.158927,0.915827,0.250826,0.013408,0.192575,0.809545,0.213147,0.014299,0.239678,0.935552,0.131869,0.013252,0.175848,0.906632,0.227887,0.012687,0.136780,0.176920,0.034337,0.159093,0.251687,0.013095,0.192651,0.212978,0.014254,0.239428,0.131638,0.013352,0.175823,0.000569,0.018393,0.004415,0.009251,0.018039,-0.194962,0.159274,0.018586,-0.188610,0.235976,0.376656,0.217604,0.197797,0.375986,0.121726,0.132561,0.376737,0.203485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.003450,-0.060799,-0.000017,-0.998144,0.200133,0.017589,0.180837,0.000414,0.227950,0.012570,0.137138,0.925457,0.176920,0.034417,0.158931,0.915613,0.250811,0.013413,0.192583,0.809914,0.213130,0.014301,0.239685,0.934738,0.131855,0.013243,0.175850,0.905992,0.227884,0.012688,0.136786,0.176918,0.034335,0.159098,0.251678,0.013103,0.192662,0.212967,0.014254,0.239430,0.131580,0.013367,0.175808,0.000567,0.018391,0.004417,0.009193,0.018682,-0.195584,0.159273,0.018589,-0.188605,0.235985,0.376654,0.217607,0.197800,0.375973,0.121742,0.132564,0.376731,0.203490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.003432,-0.060810,0.000005,-0.998143,0.200142,0.017590,0.180833,0.000406,0.227958,0.012571,0.137133,0.925427,0.176929,0.034420,0.158928,0.916253,0.250820,0.013412,0.192578,0.810349,0.213139,0.014300,0.239680,0.933839,0.131864,0.013248,0.175848,0.906070,0.227882,0.012686,0.136784,0.176918,0.034332,0.159098,0.251679,0.013106,0.192653,0.212967,0.014261,0.239438,0.131632,0.013350,0.175826,0.000570,0.018392,0.004417,0.009152,0.018528,-0.195486,0.159271,0.018589,-0.188604,0.235981,0.376657,0.217609,0.197790,0.375981,0.121726,0.132462,0.376805,0.203569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.003463,-0.060843,0.000007,-0.998141,0.200135,0.017589,0.180836,0.000417,0.227948,0.012567,0.137134,0.923272,0.176920,0.034418,0.158932,0.913033,0.250814,0.013411,0.192578,0.805674,0.213137,0.014303,0.239682,0.936737,0.131857,0.013246,0.175855,0.899551,0.227884,0.012685,0.136786,0.176919,0.034334,0.159095,0.251690,0.013089,0.192645,0.212972,0.014257,0.239431,0.131580,0.013367,0.175820,0.000567,0.018394,0.004416,0.009150,0.018534,-0.195483,0.159276,0.018591,-0.188607,0.235988,0.376655,0.217597,0.197795,0.375977,0.121732,0.132465,0.376805,0.203563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.003417,-0.060830,0.000032,-0.998142,0.200133,0.017591,0.180831,0.000416,0.227947,0.012572,0.137129,0.923272,0.176920,0.034423,0.158927,0.913033,0.250812,0.013410,0.192574,0.805674,0.213133,0.014299,0.239677,0.936737,0.131855,0.013253,0.175848,0.899551,0.227880,0.012691,0.136778,0.176917,0.034341,0.159091,0.251684,0.013099,0.192653,0.212969,0.014250,0.239422,0.131582,0.013375,0.175810,0.000567,0.018396,0.004411,0.009195,0.018684,-0.195586,0.159275,0.018591,-0.188611,0.235983,0.376656,0.217598,0.197794,0.375983,0.121721,0.132463,0.376805,0.203561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
