Format Version,1.21,Take Name,Take 2024-08-16 12.34.34 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.34.34.939 AM,Total Frames in Take,1654,Total Exported Frames,1654,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.120000,0.000898,0.952961,-0.009382,-0.302946,0.139902,0.017957,0.183930,0.000414,0.136161,0.014165,0.235701,0.964054,0.170596,0.035216,0.191799,0.838815,0.089745,0.013732,0.197717,0.924077,0.100590,0.013262,0.138375,0.911031,0.202417,0.013411,0.156059,0.844599,0.136370,0.013319,0.235625,0.169887,0.036392,0.192153,0.089931,0.013895,0.197842,0.100426,0.013438,0.138101,0.202769,0.012521,0.156187,0.009221,0.018333,-0.195405,0.159282,0.018579,-0.188622,0.169439,0.376252,0.229467,0.000598,0.018388,0.004404,0.186959,0.376402,0.127894,0.088502,0.376937,0.162609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.140000,0.000957,0.952975,-0.009427,-0.302901,0.139899,0.017961,0.183938,0.000412,0.136153,0.014176,0.235710,0.964054,0.170594,0.035219,0.191807,0.838815,0.089740,0.013742,0.197720,0.924077,0.100591,0.013264,0.138380,0.911031,0.202416,0.013407,0.156073,0.844599,0.136365,0.013332,0.235642,0.169886,0.036394,0.192161,0.089925,0.013911,0.197845,0.100429,0.013438,0.138105,0.202763,0.012519,0.156199,0.009315,0.018093,-0.195088,0.159279,0.018579,-0.188616,0.169426,0.376240,0.229458,0.000598,0.018388,0.004404,0.186958,0.376399,0.127900,0.088497,0.376943,0.162608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.160000,0.000901,0.952959,-0.009387,-0.302954,0.139905,0.017962,0.183928,0.000411,0.136165,0.014170,0.235700,0.964465,0.170600,0.035221,0.191796,0.839267,0.089748,0.013737,0.197716,0.924844,0.100592,0.013266,0.138374,0.910710,0.202420,0.013415,0.156056,0.845618,0.136379,0.013324,0.235626,0.169888,0.036390,0.192144,0.089932,0.013902,0.197840,0.100431,0.013441,0.138102,0.202769,0.012525,0.156186,0.009182,0.018270,-0.195379,0.159286,0.018580,-0.188622,0.169440,0.376248,0.229470,0.000597,0.018391,0.004402,0.186962,0.376400,0.127896,0.088496,0.376941,0.162612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.180000,0.000926,0.952962,-0.009415,-0.302942,0.139903,0.017963,0.183930,0.000415,0.136162,0.014174,0.235702,0.963511,0.170599,0.035222,0.191797,0.838738,0.089746,0.013740,0.197716,0.924084,0.100592,0.013265,0.138375,0.910261,0.202419,0.013412,0.156059,0.844050,0.136377,0.013325,0.235625,0.169888,0.036394,0.192150,0.089930,0.013909,0.197843,0.100427,0.013440,0.138098,0.202772,0.012522,0.156192,0.009184,0.018268,-0.195378,0.159283,0.018576,-0.188623,0.169465,0.376202,0.229422,0.000597,0.018390,0.004403,0.186968,0.376396,0.127909,0.088497,0.376942,0.162613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.200000,0.000938,0.952968,-0.009445,-0.302924,0.139897,0.017959,0.183939,0.000413,0.136154,0.014174,0.235710,0.964765,0.170592,0.035219,0.191806,0.839369,0.089739,0.013738,0.197723,0.923972,0.100587,0.013259,0.138383,0.910551,0.202413,0.013407,0.156071,0.845468,0.136364,0.013336,0.235644,0.169883,0.036390,0.192158,0.089922,0.013907,0.197852,0.100426,0.013434,0.138107,0.202763,0.012521,0.156193,0.009324,0.018403,-0.195391,0.159277,0.018577,-0.188618,0.169464,0.376205,0.229427,0.000599,0.018386,0.004402,0.186959,0.376399,0.127907,0.088500,0.376939,0.162617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.220000,0.000907,0.952965,-0.009426,-0.302931,0.139903,0.017960,0.183935,0.000410,0.136160,0.014172,0.235707,0.964765,0.170597,0.035220,0.191803,0.839369,0.089745,0.013735,0.197721,0.923972,0.100592,0.013260,0.138380,0.910551,0.202418,0.013412,0.156066,0.845468,0.136372,0.013332,0.235639,0.169892,0.036389,0.192152,0.089924,0.013900,0.197843,0.100429,0.013435,0.138109,0.202773,0.012523,0.156193,0.009184,0.018271,-0.195380,0.159283,0.018580,-0.188618,0.169429,0.376255,0.229480,0.000598,0.018386,0.004406,0.186965,0.376389,0.127924,0.088498,0.376937,0.162614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.240000,0.000911,0.952962,-0.009448,-0.302942,0.139899,0.017957,0.183936,0.000414,0.136158,0.014171,0.235707,0.965507,0.170594,0.035218,0.191802,0.840413,0.089742,0.013732,0.197722,0.925359,0.100588,0.013255,0.138381,0.911256,0.202415,0.013408,0.156065,0.844929,0.136370,0.013331,0.235639,0.169883,0.036385,0.192152,0.089927,0.013901,0.197852,0.100425,0.013431,0.138103,0.202767,0.012522,0.156193,0.009319,0.018093,-0.195089,0.159277,0.018579,-0.188619,0.169432,0.376254,0.229481,0.000600,0.018386,0.004402,0.186966,0.376397,0.127920,0.088513,0.376936,0.162617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.260000,0.000928,0.952963,-0.009463,-0.302937,0.139903,0.017961,0.183937,0.000412,0.136161,0.014177,0.235709,0.965207,0.170597,0.035221,0.191803,0.838582,0.089745,0.013738,0.197723,0.925336,0.100591,0.013258,0.138382,0.910962,0.202418,0.013409,0.156067,0.844784,0.136373,0.013342,0.235643,0.169888,0.036394,0.192160,0.089926,0.013905,0.197844,0.100427,0.013430,0.138111,0.202771,0.012523,0.156189,0.009322,0.018097,-0.195099,0.159280,0.018573,-0.188617,0.169462,0.376212,0.229436,0.000598,0.018378,0.004407,0.186974,0.376392,0.127924,0.088494,0.376939,0.162623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.280000,0.000941,0.952961,-0.009468,-0.302943,0.139902,0.017961,0.183934,0.000411,0.136161,0.014178,0.235705,0.964915,0.170597,0.035221,0.191799,0.839452,0.089744,0.013739,0.197720,0.923874,0.100590,0.013258,0.138379,0.912138,0.202417,0.013407,0.156063,0.845622,0.136371,0.013340,0.235639,0.169881,0.036381,0.192146,0.089930,0.013910,0.197846,0.100428,0.013429,0.138110,0.202771,0.012526,0.156187,0.009180,0.018274,-0.195379,0.159282,0.018577,-0.188622,0.169435,0.376260,0.229484,0.000602,0.018385,0.004401,0.186970,0.376390,0.127912,0.088502,0.376935,0.162614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.300000,0.000903,0.952968,-0.009441,-0.302921,0.139904,0.017961,0.183935,0.000415,0.136161,0.014174,0.235706,0.964915,0.170598,0.035222,0.191803,0.839452,0.089746,0.013735,0.197719,0.923874,0.100594,0.013259,0.138379,0.912138,0.202421,0.013413,0.156067,0.845622,0.136372,0.013334,0.235636,0.169884,0.036395,0.192158,0.089932,0.013904,0.197849,0.100432,0.013435,0.138104,0.202773,0.012527,0.156190,0.009216,0.018335,-0.195407,0.159282,0.018575,-0.188623,0.169474,0.376201,0.229422,0.000603,0.018388,0.004402,0.186973,0.376391,0.127911,0.088500,0.376938,0.162619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
