7/25/2024  5:22 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.101	
3	0.00	0.151	
4	0.00	0.201	
5	0.00	0.250	
6	0.00	0.301	
7	0.00	0.351	
8	0.00	0.401	
9	0.00	0.451	
10	0.00	0.501	
11	0.00	0.550	
12	0.00	0.601	
13	0.00	0.651	
14	0.00	0.700	
15	0.00	0.751	
16	0.00	0.801	
17	0.00	0.850	
18	0.00	0.900	
19	0.00	0.950	
20	0.00	1.000	
21	0.00	1.050	
22	0.00	1.101	
23	0.00	1.151	
24	0.00	1.201	
25	0.00	1.251	
26	0.00	1.300	
27	0.00	1.351	
28	0.00	1.400	
29	0.00	1.450	
30	0.00	1.500	
31	0.00	1.551	
32	0.00	1.600	
33	0.00	1.651	
34	0.00	1.700	
35	0.00	1.750	
36	0.00	1.800	
37	0.00	1.850	
38	0.00	1.901	
39	0.00	1.950	
40	0.00	2.001	
41	0.00	2.050	
42	0.00	2.101	
43	0.00	2.150	
44	0.00	2.201	
45	0.00	2.250	
46	0.00	2.300	
47	0.00	2.350	
48	0.00	2.401	
49	0.00	2.451	
50	0.00	2.500	
51	0.00	2.550	
52	0.00	2.600	
53	0.00	2.651	
54	0.00	2.700	
55	0.00	2.751	
56	0.00	2.800	
57	0.00	2.851	
58	0.00	2.901	
59	0.00	2.951	
60	0.00	3.000	
61	0.00	3.051	
62	0.00	3.100	
63	0.00	3.151	
64	0.00	3.201	
65	0.00	3.250	
66	0.00	3.301	
67	0.00	3.350	
68	0.00	3.401	
69	0.00	3.451	
70	0.00	3.500	
71	0.00	3.551	
72	0.00	3.601	
73	0.00	3.651	
74	0.00	3.700	
75	0.00	3.750	
76	0.00	3.801	
77	0.00	3.851	
78	0.00	3.901	
79	0.00	3.951	
80	0.00	4.002	
81	0.00	4.051	
82	0.00	4.101	
83	0.00	4.150	
84	0.00	4.201	
85	0.00	4.251	
86	0.00	4.301	
87	0.00	4.350	
88	0.00	4.400	
89	0.00	4.450	
90	0.00	4.501	
91	0.00	4.550	
92	0.00	4.600	
93	0.00	4.651	
94	0.06	4.701	
95	0.40	4.750	
96	1.04	4.800	
97	1.34	4.851	
98	1.88	4.900	
99	2.54	4.951	
100	3.44	5.001	
101	4.36	5.051	
102	5.42	5.100	
103	6.30	5.150	
104	6.94	5.201	
105	7.64	5.251	
106	8.10	5.301	
107	8.34	5.350	
108	8.38	5.400	
109	8.38	5.451	
110	8.36	5.500	
111	8.36	5.551	
112	8.34	5.601	
113	8.34	5.650	
114	8.34	5.701	
115	8.32	5.750	
116	8.32	5.801	
117	8.32	5.850	
118	8.30	5.901	
119	8.30	5.950	
120	8.30	6.001	
121	8.28	6.050	
122	8.28	6.101	
123	8.28	6.150	
124	8.28	6.201	
125	8.26	6.250	
126	8.26	6.300	
127	8.26	6.351	
128	8.26	6.400	
129	8.26	6.451	
130	8.26	6.500	
131	8.26	6.551	
132	8.24	6.601	
133	8.02	6.650	
134	7.04	6.701	
135	6.24	6.750	
136	5.30	6.800	
137	3.98	6.851	
138	2.92	6.901	
139	2.18	6.951	
140	1.56	7.000	
141	1.00	7.051	
142	0.50	7.100	
143	0.30	7.150	
144	0.22	7.201	
145	0.20	7.250	
146	0.20	7.301	
147	0.20	7.350	
148	0.20	7.401	
149	0.20	7.450	
150	0.20	7.500	
151	0.20	7.551	
152	0.20	7.601	
153	0.20	7.650	
154	0.20	7.700	
155	0.20	7.751	
156	0.22	7.801	
157	0.22	7.850	
158	0.22	7.901	
159	0.22	7.950	
160	0.22	8.000	
161	0.22	8.050	
162	0.22	8.100	
163	0.22	8.151	
