7/25/2024  4:59 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.101	
3	0.00	0.150	
4	0.00	0.201	
5	0.00	0.250	
6	0.00	0.300	
7	0.00	0.350	
8	0.00	0.401	
9	0.00	0.450	
10	0.00	0.501	
11	0.00	0.550	
12	0.00	0.601	
13	0.00	0.650	
14	0.00	0.700	
15	0.00	0.750	
16	0.00	0.801	
17	0.00	0.851	
18	0.00	0.901	
19	0.00	0.951	
20	0.00	1.000	
21	0.00	1.051	
22	0.00	1.101	
23	0.00	1.150	
24	0.08	1.201	
25	0.22	1.250	
26	0.32	1.300	
27	0.68	1.351	
28	1.20	1.400	
29	1.78	1.450	
30	2.52	1.500	
31	3.30	1.550	
32	4.06	1.601	
33	4.68	1.650	
34	5.10	1.701	
35	5.26	1.751	
36	5.26	1.801	
37	5.24	1.851	
38	5.22	1.900	
39	5.20	1.951	
40	5.20	2.000	
41	5.18	2.050	
42	5.18	2.100	
43	5.16	2.150	
44	5.16	2.201	
45	5.16	2.250	
46	5.16	2.300	
47	5.14	2.350	
48	5.14	2.400	
49	5.14	2.450	
50	5.14	2.501	
51	5.12	2.550	
52	5.12	2.601	
53	5.12	2.650	
54	5.12	2.701	
55	5.12	2.751	
56	5.10	2.800	
57	5.10	2.851	
58	5.10	2.900	
59	5.10	2.950	
60	5.10	3.001	
61	5.10	3.051	
62	4.72	3.101	
63	3.70	3.151	
64	2.84	3.200	
65	2.18	3.250	
66	1.62	3.301	
67	1.12	3.350	
68	0.82	3.401	
69	0.64	3.451	
70	0.60	3.501	
71	0.60	3.550	
72	0.60	3.601	
73	0.60	3.650	
74	0.60	3.701	
75	0.60	3.751	
76	0.60	3.800	
77	0.62	3.850	
78	0.62	3.900	
79	0.62	3.950	
80	0.62	4.000	
81	0.62	4.050	
82	0.62	4.100	
83	0.62	4.151	
84	0.62	4.200	
85	0.64	4.250	
86	0.62	4.300	
